Q: Why did the blonde become a big basketball fan?,A: Because every time they stopped the clock[COMMA] she thought that she had stopped aging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you call a boomerang that doesn't come back?,A: A stick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the chicken cross the basketball court?, ,A: He heard the ref was blowing fowls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There were two little crabs who met in Florida every year.,One year when they arrived[COMMA] one little crab was shivering terribly.,"The other crab asked why and he said[COMMA] ""I got a ride here on a man's moustache.","He drove so fast[COMMA] I was freezing.""","Well[COMMA] the other crab said[COMMA] ""why don't you hide up a lady's skirt next year.","Then you won't be as cold.""","The little crab said[COMMA] ""Hey[COMMA] that isn't a bad idea.""",A year later[COMMA] the two crabs met at the same place[COMMA] and the one little crab was shivering very badly again.," The other crab asked if he had taken his advice and he said[COMMA] ""Yeah[COMMA] I went and hid up a lady's skirt[COMMA] but when I woke up in the morning I was on that's guy's moustache again!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What is the difference between Liverpool football and a tea bag?,A: The tea bag stays in the cup longer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the difference between basketball and sex?,In basketball you dribble before you shoot!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations[COMMA] you've ranked high enough in the polls to play in my Love Bowl.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I'd like to try the Down and In maneuver on you.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A woman walks in to a tattoo parlor and tells the,artist she would like two tatoos[COMMA] one of Robert Redford on her left upper thigh[COMMA] and one of Paul Newman on her right thigh.,After hours of work,the tatoo artist is finished and holds a mirror in between the womans legs for her to view.,The woman says[COMMA]'' I dont know if these really look like Paul & Robert[COMMA] and I ain't payin for this if it isn't right!'' She tells the artist she will go just outside the buisness and ask someone walking down the street if they know who the two men are on her thighs[COMMA] if they answer correctly she would pay the artist.,She soon sees a man walking down the street[COMMA] so she pulls up her skirt and asks him[COMMA] '' Can you tell me who the man on my right thigh and the man on my left thigh are?'' ,The man replies[COMMA] '' I dunno[COMMA] but the one in the middle looks like Willie Nelson.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A group of hikers were being led through the wilderness by a guide.,On the third day[COMMA] the hikers noticed that they had been traveling in circles., ,''We're lost!'' One of the hikers complained., ,''And you said you were the best guide in the United States.'' , ,''I am[COMMA]'' the guide answered[COMMA] '' but I think we may have wandered into Canada.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do mopeds and fat ladies have in common?, ,They're both a great ride until someone sees you on one.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day at the end of class[COMMA] little Johnny's teacher asks the class to go home and think of a story to be concluded with the moral of that story.,The following day the teacher asks for the first volunteer to tell their story.,Little Suzy raises her hand.,"My dad owns a farm and every Sunday we load the chicken eggs on the truck and drive into town to sell them at the market.,Well[COMMA] one Sunday we hit a big bump and all the eggs flew out of the basket and onto the road.","When the teacher asked for the moral of the story[COMMA] Suzy replied[COMMA] ""Don't keep all your eggs in one basket.""",Little Lucy went next.,"My dad owns a farm too.,Every weekend we take the chicken,eggs and put them in the incubator.,Last weekend only eight of the 12 eggs hatched.",Again[COMMA] the teacher asked for the moral of the story.,"Lucy replied[COMMA] ""Don't count your chickens before they hatch.""",Next up was little Johnny.,"My uncle Ted fought in the Vietnam war[COMMA] and his plane was shot down over enemy territory.,He jumped out before it crashed but could only take a case of beer[COMMA] a machine gun and a machete.,On the way down[COMMA] he drank the case of beer.,Then he landed right in the middle of 100 Vietnamese soldiers.,He shot 70 with his machine gun[COMMA] but then he ran out of bullets!,So he pulled out his machete and killed 20 more.,Then the blade on his machete broke[COMMA] so he killed the last ten with his bare hands.",The teacher looked a little shocked.,After clearing her throat[COMMA] she asked what possible moral there could be to this story.,"Well[COMMA] Johnny replied[COMMA] ""Don't f**k with Uncle Ted when he's been drinking.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once there was a farmer., He had two teenage sons., This farmer had just inherited some of money from his brother's recent death., He couldn't decide, which son he could send to college[COMMA] since he could only afford to send one., ,This farmer also had two ducks., These ducks were retarded., They were only two ducks on the farm that weren't normal., He told his sons that whoever could get the most money for the duck would go to college., ,The sons, went out in attempt to collect as much money as, they could., The first son was walking down the street when he passed a man working in the yard., The man asked him if the duck was for sale[COMMA] for the man loved the taste of ducks., He offered the son 10 dollars for his duck., The son decided this was very good[COMMA] so he took it., He decided his brother wouldn't be able to get close to his success.,The second son was walking and passed a whorehouse., He went in and said that he didn't have any money[COMMA] but he would give them the duck., One girl said fine.,After they f**ked[COMMA] she decided that she didn't want the duck anymore., The son said he would take the duck back if they f**ked again., She agreed., After they f**ked the second time[COMMA] the son left., ,He was walking home[COMMA] thinking about what to do with the duck when it broke the leash., The duck ran out into the street and was hit by a car., The lady that hit it jumped from her car and started apologizing profusely., The son insisted it was ok[COMMA] but the lady said she would pay for the duck., She was in a hurry[COMMA] so she gave him 25 dollars and sped off.,When the sons got home[COMMA] the farmer asked the first son what he got., He proudly displayed the 10 dollars., The farmer was impressed., He asked the second son the same thing., ,"That's nothing., I got a f**k for a duck[COMMA] a duck for a f**k[COMMA] and 25 dollars for a f**ked up duck.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What did the hockey goalie say to his teammate?," A: ""Let's get the puck out of here!"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A typical macho man married typical good-looking woman and[COMMA] after the wedding[COMMA] laid down the following rules:, ''I'll be home when I want[COMMA] if I want and at what time I want -- and I don't expect any hassle from you.,I expect dinner to be on the table unless I tell you otherwise.,I'll go hunting[COMMA] fishing[COMMA] boozing[COMMA] and card-playing when I want with my old buddies and don't you give me a hard time about it.,Those are my rules.,Any comments?'',His new bride said[COMMA] ''No[COMMA] that's fine with me.,Just understand that there'll be sex here at 7 o'clock every night -- whether you're here or not.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I think I pulled a groin muscle.,Or was that you?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The St.,Louis Symphony was playing Beethoven's Ninth one night.,One bass player said to the other[COMMA] ''We don't have much to do.,Let's go next door for a few drinks.'' They stayed for a while and got a little tipsy.,One said to the other[COMMA] ''To give us more time[COMMA] I tied the pages of the music together[COMMA] so the conductor will have to untie it when he gets near the end.'' ,They staggered back into the auditorium just in time for the finish.,The next day when someone asked their friend how the concert was[COMMA] they replied[COMMA] ''The most exciting part was at the end of the Ninth when the score was tied and the bassists were loaded.'' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q.,What's the similarity between penises and fish?,A.,You throw back the small ones[COMMA] you keep the medium ones[COMMA] and you mount the large ones.,</P>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does NASCAR stand for?,Non,Athletic,Sport,Created,Around,Rednecks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day God came to Adam to pass on some news.,"I've got some good news, and some bad news[COMMA] God said.","Adam looked at God and said[COMMA] ""Well[COMMA] give"," me the good news first."" ","Smiling[COMMA] God explained[COMMA] ""I've got two new", organs for you.,One is called a brain.,It will allow you to be very, intelligent[COMMA] create new things and have intelligent conversations with, Eve.,The other organ I have for you is called a penis.,It will allow,you to reproduce your life form and populate this, planet., Eve will be very happy that you now have this organ to give," her children.""","Adam[COMMA] very excited[COMMA] exclaimed[COMMA] ""These are great gifts.",What could possibly be bad news after such great," tidings?"" ","God looked upon Adam and said with great sorrow[COMMA] ""The bad", news is that when I created you[COMMA] I only gave you enough blood to," operate one of these organs at a time.""", ,Then[COMMA] God came to Eve to pass on some news too.,"I've got some good news, and some bad news[COMMA] God said.","Eve looked at God and said[COMMA] ""Well[COMMA] give"," me the good news first."" ","Smiling[COMMA] God explained[COMMA] ""I've got two new", organs for you.,One is called a brain.,It will allow you to be very, intelligent[COMMA] create new things and have intelligent conversations with, Adam.,The other organ I have for you is called a vagina.,It will allow,you to reproduce your now intelligent life form and populate this, planet., Adam will be very happy that you now have this organ to give," him children.""","Eve[COMMA] very excited[COMMA] exclaimed[COMMA] ""These are great gifts", you have given to me.,What could possibly be bad news after such great," tidings?"" ","God looked upon Eve and said with great sorrow[COMMA] ""The bad", news is that when I created you[COMMA] I only gave you enough blood to, operate one of these organs at a time.,"While you're bleeding through one of them every 28 days[COMMA] the other will remain useless.""",,,,,,,,,,,,,,,,,,,
A nun wanted to enter a racehorse into a race[COMMA] but then she realized that they cost way too much money[COMMA] so instead[COMMA] she bought a donkey., ,The next day[COMMA] she enters it into a contest[COMMA] and it comes in third.,The headlines read[COMMA] ''Nun's Ass Chokes.'',The next day[COMMA] she entered it in another competition and this time it came in first.,The headlines were[COMMA] ''Nun's Ass Wins Grand Prize.'' , ,The following day[COMMA] the owner scratched the donkey from the race., ,The headlines read[COMMA] ''Booker Scratches Nun's Ass.'' , ,And on the next day[COMMA] the nun sold the donkey for a really cheap price., ,The headlines were ''Nun Sells Her Ass for $5.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I'm just trying to open up a hole!,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A woman walks into her doctor's office and says[COMMA] ""Doctor[COMMA] I need to lose weight fast."" The doctor replies[COMMA] ""Instead of putting food in your mouth[COMMA] try putting it up your butt.""","Two months later[COMMA] she comes in and says[COMMA] ""Doctor[COMMA] it's a dream come true.","I'm half the size I was.""",But the doctor notices that she is bouncing up and down.,"He asks[COMMA] ""Where did you get this twitch?"" The woman replies[COMMA] ""I don't have a nervous twitch; I'm chewing bubble gum."" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Ohio State University mortician student walked into the embalming room where a cadaver was lying on the table., Confident that he knew enough now to begin the procedure without his instructor[COMMA] he began to examine the body., When he rolled it over[COMMA] he was shocked to see a cork in the man's butt.,Mystified[COMMA] he pulled it out and immediately heard the University of Michigan fight song come out of the guy's,butt., Shaken by what had,happened[COMMA] he quickly shoved the cork back into it's original resting place., He then,ran to get his instructor[COMMA] nervously shouting[COMMA] ,Sir[COMMA] you must come[COMMA] you won't believe,what I discovered!!, Annoyed by the,interruption[COMMA] the professor said[COMMA] ,Let's take a look at this astounding discovery., When they entered the,morgue[COMMA] the teacher was also surprised to see the cork[COMMA] so he approached the table and,promptly removed the cork., Upon hearing the University,of Michigan fight song[COMMA] he quickly replaced the cork in the cadaver's butt and said[COMMA],What's so surprising about that?, I've heard thousands of assholes sing that,song!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A blind man tells his friend how much he enjoys parachuting.,"My hand is placed on my release ring[COMMA] and then they place me in the door and tell me when to jump.,Out I go!",But how do you know when to lift your legs for the final arrival on the ground? ask his friend.,"Oh[COMMA] replies the blind man[COMMA] ""as soon as the dog's leash goes slack.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] please don't let this be an incomplete pass.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show me a man that thinks baseball is the national pastime and I'll show you a man who never played doctor when he was a kid!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm going to have to penalize you fifteen yards for unnecessary hotness.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man goes to his doctor's office to get his penis enlarged.,The doctor comes in with a tray of penises[COMMA] and the man says[COMMA] ''You got any bigger ones?'', The doctor comes in with another tray[COMMA] but the man still wants something bigger.," The doctor comes in with yet another tray[COMMA] and the man finally says[COMMA] ""I'll take one of those.","But do you have any in white?"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Several men are in the locker room of a golf club.,A cell phone on a bench rings and a man engages the hands-free speaker- function and begins to talk.,Everyone else in the room stops to listen.,"MAN: ""Hello""","WOMAN: ""Honey[COMMA] it's me.","Are you at the club?""","MAN: ""Yes.""","WOMAN: ""I'm at the mall now and found this beautiful leather coat.",It's only $1[COMMA]000.,"Is it OK if I buy it?""","MAN: ""Sure[COMMA] go ahead if you like it that much.""","WOMAN: ""I also stopped by the Mercedes dealership and saw the new 2007 models.","I saw one I really liked.""","MAN: ""How much?""","WOMAN: ""$65[COMMA]000.""","MAN: ""OK[COMMA] but for that price I want it with all the options.""","WOMAN: ""Great!",Oh[COMMA] and one more thing.,The house we wanted last year is back on the market.,"They're asking $950[COMMA]000.""","MAN: ""Well[COMMA] then go ahead and give them an offer[COMMA] but just offer $900[COMMA]000.""","WOMAN: ""OK.",I'll see you later!,"I love you!""","MAN: ""Bye[COMMA] I love you[COMMA] too.""",The man hangs up.,The other men in the locker room are looking at him in astonishment.,"Then he smiles and asks: ""Anyone know whose phone this is?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was this one lady that bought a jar of pickles every week,So she puts the pickle in the hole on her floor and starts humping it then the mailman rings the doorbell and she gets up[COMMA] kicks the pickle and gets the mail., The next day she does the same thing and screws the pickle.,The mailman waits everyday[COMMA] so he looks in the window and sees her screwing the pickle then he rings the doorbell., .,The next day he gets a substitute to do his routes.,So he goes in the lady's basement and paints his dick green.,When she put the pickle in he takes it out and sticks his dick in and the lady doesn`t know it`s not the pickle so she just screws it., Later on the substitute mailman rings the doorbell and then the lady kicks the pickle and gets the mail.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus and Moses are playing golf and they''re on the tenth hole., Moses hits the ball and it heads straight for a pond., Just before the ball hits the water[COMMA] the pond parts and the ball rolls up onto the green., ,Jesus winds up and hits one about to the same spot., Jesus' ball hits the water and skips across., All of a sudden[COMMA] lightning flashes and a ball drops from the sky., A fish swallows it[COMMA] a bird picks up the fish and drops the ball onto a turtle[COMMA] that walks over to the hole and drops it in.,Moses turns to Jesus and says[COMMA] ''I hate it when your dad plays!'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why can't girls play hockey?,A: Their pads can't last three periods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why can't DJs play pool?, ,A: They always scratch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] soccer players know eleven positions!,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you hear they are thinking of changing the Dallas Cowboys to the Dallas Possums?, ,No[COMMA] why?,Because they play dead at home and they die on the road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm going to back you into the low post for an easy finger roll.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you call parachuting lawyers?, ,Skeet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you get when you cross a football player with a hooker?,An illegal procedure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two hunters were stalking through the forest when one said to the other that he has to take a dump.,"His friend replies[COMMA] ""Well[COMMA] go in the bushes.""",What should I use to wipe my ass? he asks.,Use a dollar bill[COMMA] his friend says.,A few minutes later[COMMA] the hunter steps out of the bushes with s**t all over his hands.,What happened? asked his friend.,"He replied[COMMA] ""I didn't have a dollar bill[COMMA] so I used four quarters.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once upon a time[COMMA] there was a king who thought that his officers were going to try to have sex with his queen.,So he made all of his officers put on tight pants and told them that if anyone got a boner their head would be chopped off.,So he lined them up and the queen came to the first one and took off her gown., He got a boner[COMMA] so that was the end of him.,Then she came to the next one and took off her gown[COMMA] he got a boner and that was the end of him.,This went on until she came to the last one and took off gown[COMMA] then her underthings and he didn't get a boner.,So she took off his clothes and started rolling on the floor with him[COMMA] half an hour went by[COMMA] then an hour[COMMA] finally after two hours the king came in to see what was happening and as soon as the king came in the guy got a boner., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I'd like to take it your rack!,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] will you be my receiver?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] I'd like to recover your muff.,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two rednecks were sitting on their porch one afternoon and looked down at their dog who was licking his dick., ,One of the the guys looked at the other and said[COMMA], ''I wish that I could do that.'', , ,The other one then said[COMMA],'Don't be stupid[COMMA] man - that dog would bite you!'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you know when you have a true redneck girl?, ,When she can chew tabacco and give you a blow job at the same time[COMMA] and knows which one to spit and which one to swallow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A young hillbilly always went out to the barn to, beat off and when he was done he would shoot his, load into a coffee can and hide it under the, bench., One day his father caught him and told him[COMMA],"Son[COMMA] every time you do that you are killing a, baby.", ,The next time the boy went to the barn he was, about to shoot his load and reached down to grab, his can but a little frog had jumped in.,The boy," looked in the can saw the frog and said[COMMA] ""Son"," you're ugly but daddy loves ya.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Frost and a redneck came to heaven's gate at the same time., St.,Peter stood at the gate with instuctions for the two: ''You cannot enter the gates of heaven until you can make up a poem and recite it to me using the word 'Timbuktu' in it.'',Robert Frost stepped up and recited a beautiful poem and was let in the gates., .,The redneck stepped up and St.,Peter said[COMMA] ''Now[COMMA] what is your poem?'',The Redeck paused and scratched., ''Oh!,I got it[COMMA]'' said the redneck[COMMA] ''here it goes., Me and Tim a huntin' went[COMMA],Met three maidens in a tent[COMMA],They was three and we was two[COMMA],So I bucked one and Tim bucked two.'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't trust volleyball players with your drinks.,Why?,They might spike 'em.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Catholic[COMMA] a Baptist and a Mormon are bragging about the size of their families.,I have four boys[COMMA] and my wife is expecting another[COMMA] says the Catholic.,One more son[COMMA] and I'll have a basketball team.,That's nothing[COMMA] says the Baptist.,"I have 10 boys now[COMMA] and my wife is pregnant with another child.,One more son[COMMA] and I'll have a football team.",That's nothing[COMMA] says the Mormon.,"I have 17 wives.,One more wife[COMMA] and I'll have a golf course. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-- None for me[COMMA] thanks.,That Skoal will do a number on your teeth.,-- Tampax!,Get your Tampax here!,-- Hey[COMMA] shut up!,I can't hear the race!,#NAME?,Man[COMMA] that's sick.,-- My God[COMMA] this is a splendid Merlot.,-- Hey[COMMA] you with the large breasts[COMMA] out of the way.,We're trying to watch a race here.,-- Jeeves[COMMA] be a good man and retrieve the Wall Street Journal from my attach,case.,Then fetch me some clotted cream for my scone.,-- What a coincidence[COMMA] Hank[COMMA] all my friends are boycotting Hooters[COMMA] too.,#NAME?,-- Good morning[COMMA] Mr.,Trickle.,We at 'Depends' understand you're looking for a new corporate sponsor.,-- Filling in for Dale 'The Intimidator' Earnhardt today is substitute driver[COMMA] Michael 'Lord of the Dance' Flatley.,-- And now[COMMA] singing our national anthem[COMMA] international recording artist Boy George.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two boys are playing football in Central Park when one is attacked by a rabid rottweiler.,Thinking quickly[COMMA] the other boy rips a board off of a nearby fence[COMMA] wedges it down the dog's collar and twists[COMMA] breaking the dog's neck.,A reporter strolling by sees the incident[COMMA] and rushes over to interview the boy.,Young Giants Fan Saves Friend From Vicious Animal[COMMA], he writes in his notebook.,But I'm not a Giants fan[COMMA], the little hero replies.,Sorry[COMMA] since we are in New York[COMMA] I just assumed you were[COMMA], says the reporter.,Little Jets Fan Rescues Friend From Horrific Attack[COMMA], he writes in his notebook.,I'm not a Jets fan either[COMMA], the boy says.,I assumed everyone in New York was either for the Giants or Jets.,What team do you root for?, the reporter asks.,I'm a Cowboys fan[COMMA], the child says.,The reporter starts a new sheet in his notebook and writes[COMMA], ,Little Redneck Maniac Kills Beloved Family Pet,., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey babe[COMMA] want to squeeze my resin bag?,High five!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"One day[COMMA] a guy was approached by a rich man who said[COMMA] ""If you marry my daughter[COMMA] I will give you my house and all of my money."" Sure enough the guy says yes.",The rich man then warned him that his daughter had been in a terrible car accident and was a little messed up[COMMA] both physically and mentally.,The guy figures she couldn't be that messed up and doesn't change his mind.<br />So he married the girl -- who <i>was</i> that messed up -- and on the honeymoon[COMMA] instead of having to look at her[COMMA] he put a paper bag over her head when they were having sex.,"And the guy used the bag every time they had sex after that<br />One day[COMMA] while the guy was doing some work around the house[COMMA] he dropped his hammer and said[COMMA] ""Honey[COMMA] can you get the hammer for me?"" The wife shuffled around muttering[COMMA] ""Huh?","Get the hammer[COMMA] get the hammer[COMMA] get the hammer[COMMA]"" and finally picked it up.<br />After she gave it back to him[COMMA] he dropped the box of nails and asked[COMMA] ""Honey[COMMA] can you get nails for me?"" She went to fetch it[COMMA] mumbling[COMMA] ""Huh?","Get the nails[COMMA] get the nails[COMMA] get the nails."" She hands him the nails and he goes back to work.<br />While the guy is hammering a nail[COMMA] he accidentally struck his thumb and shouted[COMMA] ""Aww[COMMA] f**k!"" The wife says[COMMA] ""Huh?","get the bag[COMMA] get the bag[COMMA] get the bag....""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: On a sunny day[COMMA] two fathers and two sons went fishing.,Each one of them caught one fish.,When they went home[COMMA] there were only three fishes.,How can that be?,A: A grandfather[COMMA] a father and a son went fishing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There were three guys in a car.,One driving[COMMA] the other in the passenger seat and one resting in the back.,The guy in the back became sleepy and fell asleep.,"A few minutes later[COMMA] he is startled by a ""THUMP THUMP.""",What the hell was that? he shouted.,"The driver says[COMMA] ""It was just a redneck."" ",I felt two thumps[COMMA] though[COMMA] says the passenger.,Yeah we had to go through the fence to hit him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Rocker was on a NY subway and many people stopped to stare at him.," One lady said[COMMA] ""I hate you[COMMA] Rocker[COMMA] you dissed New York.""","The next person says[COMMA] ""Thanks[COMMA] Rocker."," You dissed homosexuals.""","The next guys says[COMMA] ""You dissed people with mental problems.""","Rocker is shocked and says[COMMA] ""I didn't say anything about people with mental problems!""","The man smiles and says[COMMA] ""Now people think that all people with mental problems are racist and dumb.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A rookie pitcher was struggling at the mound[COMMA] so the catcher walked up to have a talk with him.,I've figured out your problem[COMMA] he told the young southpaw.,You always lose control at the same point in every game. ,When is that? ,Right after the National Anthem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A virgin boy turns 18[COMMA] and asks his dad for money to go to the whore house.," His dad gives him 20 bucks and says[COMMA] ""Son[COMMA] get it done."," But one thing before you go[COMMA] whatever you do[COMMA] don't venture into Room 88.""",The kid agrees., ,"He gets to the whore house and says to the lady at the desk[COMMA] ""Hi[COMMA] I would like to get a room."" ", ,"She responds[COMMA] ""Sorry young man.","The only room left is Room 88."" ", ,The kid[COMMA] dripping with horniness[COMMA] takes it despite his father's warning., When he gets up there[COMMA] there is a hole in the wall.," It says[COMMA] ""Insert cock here for pleasure.""",He walks over[COMMA] sticks it in[COMMA] and gets his c**k sucked for an hour and a half and explodes inside the mystery mouth hidden behind the wall., ,He gets home and tells his dad he had his d**k sucked by a real pro in Room 88., ,"His dad turns deathly pale and cries[COMMA] ""Uh[COMMA] oh."," That was you?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A man staggers into an emergency room with two black eyes and a five iron wrapped tightly around his throat.,"I was having a quiet round of golf with my wife[COMMA] he tells the doctor[COMMA] ""when she sliced her ball into a pasture of cows.",We went to look for it[COMMA] and I noticed one of the cows had something white in its rear end.,I walked over and lifted up the tail[COMMA] and sure enough[COMMA] there was my wife's golf ball stuck right in the cow's butt.,"That's when I made my mistake.""",What did you do? asks the doctor.,Well[COMMA] as I was standing there holding up the tail[COMMA] I yelled to my wife[COMMA] 'Hey[COMMA] this looks like yours!',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
