Q: Why couldn't the blonde add 10 and seven on a calculator?,A: She couldn't find the 10 key.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What's it called when a blonde blows in another blonde's ear?,A: Data transfer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd like to see what's under your Kuiper Belt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What did one computer say to the other?,1.01011E+19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How can you tell a blonde's been using the computer?,A: There's white-out all over the screen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft's Latest Venture, News just in of Microsoft's latest,venture: Microsoft Corporation has taken another step toward dominating every aspect of,American life with the introduction of Contraceptive98[COMMA] a suite of applications designed,for users who engage in sex.,Microsoft has been a pioneer in peer-to-peer connectivity and plug and play., It believes these technologies will,give it substantial leverage in penetrating the copulation enhancement market.,The product addresses two important user concerns: the need for virus protection and the need for a firewall to ensure the non-propagation of human beings., The Contraceptive98 suite consists,of three products: Condom98[COMMA] DeFetus 1.0 (from Sementec)[COMMA] and AIDScan 2.1 (from Norton,Utilities).,A free copy of Intercourse Explorer 4.0 is bundled in the package.,The suite,also comes in two expanded versions.,Contraceptive98 Professional is the Client/Server,edition[COMMA] for professionals in the sexual services sector.,Contraceptive98 Small Business,Edition is a package for startups[COMMA] aimed at the housewife and gigolo niches., While Contraceptive98 does not address nontraditional copulatory channels[COMMA] future plug-ins are planned for next year., OPERATION: Only one node in a,peer-to-peer connection needs to install the package., At installation[COMMA] the Condom98,software checks for minimum hardware.,If the user meets the requirements[COMMA] the product,installs and is sufficiently scaleable to meet most requirements.,After installation[COMMA],operation commences.,One precaution is that the user must be sure they have sufficient RAM to complete the session.,When the session is complete[COMMA] a disconnect is initiated[COMMA] and the user gets the message[COMMA] it is now safe to turn off your partner., DRAWBACKS: Usability testers report that frequent failures were a major concern during beta testing.,General Protection Fault was the most serious error encountered.,Early versions had numerous bugs[COMMA] but most of these have been eliminated.,The product needs to be installed each time its used., CONCLUSION: Contraceptive98 is a,robust product.,Despite its drawbacks[COMMA] it is reasonably good value for its $49.95 price,tag[COMMA] and is far superior to its shareware version.,Hopefully[COMMA] future releases (of the,software[COMMA] that is) will add missing functionality[COMMA] such as Backout and Restore[COMMA],uninterruptible Power Supply and Onboard Camera., Microsoft CEO Bill Gates is optimistic that ,Our contraceptive products will help users do to each other what we've been doing to our customers for years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You look just like my girlfriend avatar!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm more machine now than man...,and I think you know what I mean.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few days after her husband's death[COMMA] a grieving widow accidentally receives an e-mail from a man waiting for his wife in Miami.,The e-mail reads:,Dearest Wife[COMMA],Just got checked in.,Everything prepared for your arrival tomorrow.,P.S.,Sure is hot down here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blonde: ""I'm on the road a lot[COMMA] and my clients are complaining that they can never reach me.""","Psychiatrist: ""Don't you have a cell phone?""","Blonde: ""They're too expensive[COMMA] so I did the next best thing: I put a mailbox in my car.""","Psychiatrist: ""And do you receive any letters?""","Blonde: ""No[COMMA] but I figure it's because when I'm driving around[COMMA] my zip code keeps changing.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How do cows do mathematics?,A: They use a cow-culator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart man + smart woman = romance,Smart man + dumb woman = affair,Dumb man + smart woman = marriage,Dumb man + dumb woman = pregnancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: How does a computer tell you it needs more memory?,A: It says ''byte me''',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many Microsoft technicians does it take to screw in a light bulb?,None[COMMA] they would just declare darkness the new standard TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trust me[COMMA] I'm neither ""micro[COMMA]"" nor ""soft.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A farmer ordered a high-tech milking machine.,It happened that the equipment arrived when his wife was away.,So he decided to test it on himself first.,He inserted his penis into the equipment[COMMA] turned the switch on[COMMA] and voila[COMMA] everything else was automatic!,He really had a good time as the equipment provided him with as much pleasure as his wife did.,However[COMMA] when the fun was over[COMMA] he found that he could not take the instrument off.,He read the manual[COMMA] but did not find any useful information.,He tried every button on the instrument - some made the equipment squeeze[COMMA] shake[COMMA] or suck harder or less - but still he had no success getting out of it.,Panicking[COMMA] he just barely reached the phone and called the supplier's customer service hotline.,"The farmer: ""Hello[COMMA] I just bought a milking machine from your company.",It worked fantastic.,"But how can I take it off from the cow's udder?""","Customer Service: ""Don't worry.",The machine was programmed to release,"automatically after collecting about 2 gallons of milk.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Gates is hanging out with the chairman of General Motors.,"If automotive technology had kept pace with, computer technology over the past few decades[COMMA]","boasts Gates[COMMA] ""you would now be driving a V-32 instead of a V-8[COMMA] and it would have a top speed of 10[COMMA]000 miles per hour.",Or[COMMA] you could have an economy car that weighs 30 pounds and gets a thousand miles to a gallon of gas.,"In either case[COMMA] the sticker price of a new car would be less than $50.""",Sure[COMMA] says the GM chairman.,But would you really want to drive a car that crashes four times a day?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA engineers build a cannon that launches dead chickens at the windshields of airplanes[COMMA] military jets and such to test the strength of the windshields against collisions with airborne fowl.,British engineers are eager to test it on the windshields of their new high-speed trains.,Arrangements are made[COMMA] and a cannon is sent to the British engineers.,When the cannon goes off[COMMA] the engineers stand shocked as the chicken crashes into the shatterproof shield[COMMA] smashes it to smithereens[COMMA] blasts through the control console[COMMA] snaps the pilot's backrest in two[COMMA] and embeds itself in the back wall of the cabin.,The horrified Brits send the Americans a report of the disastrous results[COMMA] along with an urgent request for suggests on improving the windshield design.,"The American engineers respond with a one-line memo: ""Thaw the chicken.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've got a Local Area Network that needs your attention.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unless you give me your number[COMMA] today's entry will be about poor customer service and my cats.,Again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will you be my offline permalink?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I need you to help me complete an orbit trim maneuver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three women talk about their husband's performance as lovers.,"The first woman says[COMMA] ""My husband is a marriage counselor[COMMA] so he always buys me flowers and candy before we make love.""","The second woman says[COMMA] ""My husband is a motorcycle mechanic.","He likes to play rough and use leather sometimes.""","The third woman shakes her head and says[COMMA] ""My husband works for an Internet company.","He just sits on the edge of the bed and tells me how great it's going to be when I get it.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A blond gets a new cell phone from her husband.,The next day she goes to Wal-mart and her phone rings[COMMA] so she answers it.,It was her husband.," He says[COMMA] ""How's the new cell phone?""","She replied[COMMA] ""Great...but how did you know I was at Wal-mart?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many programmers does it take to screw in a light bulb?, None[COMMA] that's a hardware problem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the first programming language you learn when studying computer science?,Profanity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: What do you get when you cross a computer with a prostitute?,A: A f**king know-it-all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have a lot of RAM in me.,A lot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A gynecologist tired of his profession[COMMA] and wanting less responsibility[COMMA] decided a career change was in order.,After some serious thought[COMMA] he decided that being an engine mechanic[COMMA] something he had once enjoyed prior to college[COMMA] would be a good choice.,However[COMMA] it had been a long time since he had tinkered with an engine and he knew that in order to compete with the younger workforce[COMMA] he would have to go to school.,He enrolled in a technical institute that specialized in teaching auto mechanics.,He aced the course[COMMA] but the final exam required each student to completely strip and reassemble an engine.,It was with some trepidation that he took the test.,At completion[COMMA] he turned the engine over to his instructors for evaluation and awaited his final grade.,When they were handed out[COMMA] he did a double take at the 150% grade he received.,Rather confused[COMMA] he asked his instructors how it was possible to have a grade like this.,It is really quite simple[COMMA] they said.,We gave you 50% for correctly disassembling the engine[COMMA] 50% for correctly reassembling it[COMMA] and an additional 50% for doing it all through the muffler.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why did the blonde quit her restroom attendant job?,A: She couldn't figure out how to refill the hand dryer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have a map?,I just keep getting lost in your eyes--even though I am programmed with a fully functioning GPS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am I dead[COMMA] Angel?,Because this must be Heaven.,Of course[COMMA] I am a machine and therefore do not experience death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you were a phaser[COMMA] you would be set on ""stunning."" And I would set mine to ""kill"" because my own survival is my top priority.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You must be a magnet[COMMA] because you are attracting me.,Perhaps it is because I am made entirely of metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are so beautiful you give the sun reason to shine.,Of course[COMMA] the sun shines by burning hydrogen into helium in its core.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My lips are registered weapons.,They shoot deadly laser beams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your sign?,"Mine is ""Property of NASA.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am a sex machine.,No[COMMA] I mean that literally.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever seen hardware like this before?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pardon me[COMMA] I think I may have dropped something.,Oh[COMMA] it was my jaw!,Please reconnect it with these bolts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am feeling a little off today.,How about turning me on?,The switch is on the back of my neck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If I could rearrange the alphabet[COMMA] I would put ""U"" and ""I"" together.","And it would stand for ""user interface.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You make me want to become a better automaton.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My intelligence may be artificial[COMMA] but the attraction is real[COMMA] baby.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is it hot in here[COMMA] or is it just me?,Wait[COMMA] that is me.,Please remain while I change my coolant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At the sound of the beep[COMMA] I can pleasure you continuously for another 10.4 hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby[COMMA] I'll rock your world so hard it'll put Pluto back into the solar system!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you pay enough attention to my rocket[COMMA] you'll experience the milky way.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You remind me of a Roomba I used to date years ago.,May I sample some of your sucking power for comparison?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costello:, Hey[COMMA] Abbott!,Abbot:, Yes[COMMA] Lou?,Costello:, I just got my first computer.,Abbot:, That's great Lou.,What did you get?,Costello:, A Pentium II-266[COMMA] with 40 Megs of RAM[COMMA],a 2.1 Gig hard drive[COMMA] and a 24X CD-ROM.,Abbot:, That's terrific[COMMA] Lou.,Costello:, But I don't know what any of it means!!,Abbot:, You will in time.,Costello:, That's exactly why I am here to see,you.,Abbot:, Oh?,Costello:, I heard that you are a real computer,expert.,Abbot:, Well[COMMA] I don't know-,Costello:, Yes-sir-ee.,You know your stuff.,And,you're going to train me.,Abbot:, Really?,Costello:, Uh huh.,And I am here for my first,lesson.,Abbot:, O.K.,Lou.,What do want to know?,Costello:, I am having no problem turning it on[COMMA],but I heard that you should be very careful how you turn it off.,Abbot:, That's true.,Costello:, So[COMMA] here I am working on my new,computer and I want to turn it off.,What do I do?,Abbot:, Well[COMMA] first you press the Start button[COMMA] and then-,Costello:, No[COMMA] I told you[COMMA] I want to turn it off.,Abbot:, I know[COMMA] you press the Start button-,Costello:, Wait a second.,I want to turn it off.,Off.,I know how to start it.,So tell me what to do.,Abbot:, I did.,Costello:, When?,Abbot:, When I told you to press the Start button.,Costello:, Why should I press the Start button?,Abbot:, To shut off the computer.,Costello:, I press Start to stop.,Abbot:, Well Start doesn't actually stop the computer.,Costello:, I knew it!,So what do I press.,Abbot:, Start,Costello:, Start what?,Abbot:, Start button.,Costello:, Start button to do what?,Abbot:, Shut down.,Costello:, You don't have to get rude!,Abbot:, No[COMMA] no[COMMA] no!,That's not what I meant.,Costello:, Then say what you mean.,Abbot:, To shut down the computer[COMMA] press-,Costello:, Don't say[COMMA] ,Start!,Abbot:, Then what do you want me to say?,Costello:, Look[COMMA] if I want to turn off the,computer[COMMA] I am willing to press the Stop button[COMMA] the End button and Cease and Desist,button[COMMA] but no one in their right mind presses the Start to Stop.,Abbot:, But that's what you do.,Costello:, And you probably Go at Stop signs[COMMA] and,Stop at green lights.,Abbot:, Don't be ridiculous.,Costello:, I am being ridiculous?,Well.,I think,it's about time we started this conversation.,Abbot:, What are you talking about?,Costello:, I am starting this conversation right,now.,Good-bye.,,,
Jesus and Satan were having an ongoing argument about who was better on his computer.,They had been going at it for days[COMMA] and God was tired of hearing all of the bickering.,"Finally God said[COMMA] ""Cool it.","I am going to set up a test that will run two hours and I will judge who does the better job.""",So Satan and Jesus sat down at the keyboards and typed away.,They moused.,They did spreadsheets.,They wrote reports.,They sent faxes.,They sent e-mail.,They sent out e-mail with attachments.,They downloaded.,They did some genealogy reports.,They made cards.,They did every known job.,But ten minutes before their time was up[COMMA] lightning suddenly flashed across the sky[COMMA] thunder rolled[COMMA] the rain poured and[COMMA] of course[COMMA] the electricity went off.,Satan stared at his blank screen and screamed every curse word known in the underworld.,Jesus just sighed.,The electricity finally flickered back on and each of them restarted their computers.,"Satan started searching frantically[COMMA] screaming ""It's gone!",It's all gone!,"I lost everything when the power went out!""",Meanwhile[COMMA] Jesus quietly started printing out all of his files from the past two hours.,Satan observed this and became irate.,"Wait!,He cheated[COMMA] how did he do it?","God shrugged and said[COMMA] ""Jesus saves.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I bet you're metric kilotons of fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Want to go back to my place and exchange some DNA material?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven't I seen you before?,Your rate of radioactive decay is exceptional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q: Why was the blonde afraid to have phone sex?,A: Because the condom wouldn't fit over the phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why computers seem female:,#NAME?,#NAME?,"-- The message ""Bad command or file name"" is about as informative as[COMMA] ""If you don't know why I'm mad at you[COMMA] then I'm certainly not going to tell you.""",#NAME?,-- As soon as you make a commitment to one[COMMA] you find yourself spending half your paycheck on accessories.,Why computers seem male:,#NAME?,-- They are supposed to help you solve problems[COMMA] but half the time[COMMA] they are the problem.,-- As soon as you commit to one you realize that[COMMA] if you had waited a little longer[COMMA] you could have obtained a better model.,-- In order to get their attention[COMMA] you have to turn them on.,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd like to cascade all over your style sheets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you feel the shifting of tectonic plates a moment ago[COMMA] or was that just me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you believe in love at first sight[COMMA] or should I roll by again?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you single[COMMA] or at least have a variant edition that's available?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm gonna fall on you like Skylab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
